net,length_um
clknet_0_clk,436.3
_0265_,321.31
_0276_,311.315
_0292_,299.245
_0273_,297.8
_0571_,295.28
clk,284.97
_0282_,281.83
_0753_,279.53
_0283_,274.88
_0284_,268.38
_0285_,255.8
_0291_,255.52
_0275_,252.89
_0295_,250.25
_0977_,249.92
_0278_,248.73
_0848_,241.64
net33,239.74
_0961_,239.54
net32,239.1
_0293_,238.94
_0628_,235.36
_0274_,228.285
net3,226.86
net4,215.12
_0970_,213.4
_0570_,212.78
_0965_,211.975
net1,209.32
_0952_,207.62
net31,206.86
_0928_,206.58
_0280_,206.3
_0917_,203.46
_0966_,199.04
_0883_,197.5
_0884_,188.02
_0409_,185.44
net15,183.8
_0296_,183.18
_0405_,179.5
_0953_,175.54
_0895_,173.64
_0860_,171.78
_0689_,171.27
net8,170.16
_0582_,169.65
_0272_,168.42
net7,167.12
_0955_,164.28
net6,164.04
net2,163.48
_0277_,160.62
net24,158.98
_0971_,158.38
net30,157.94
net13,155.98
_0289_,154.115
net21,152.06
_0575_,151.57
net26,151.28
net25,151.2
net29,147.54
net18,147.52
net16,146.56
net20,146.48
net28,145.28
net27,145.1
clknet_4_14_0_clk,144.2
net22,142.36
net23,141.96
_0290_,141.925
net14,141.56
net17,140.16
net19,139.7
_0825_,139.44
clknet_4_1_0_clk,137.35
net5,136.62
_0849_,135.92
_0655_,133.1
net12,132.88
_0939_,128.7
net9,128.36
_0663_,128.07
clknet_4_7_0_clk,127.52
reset,127.26
_0954_,126.16
_0784_,125.82
_0262_,125.04
_0626_,123.09
_0788_,122.26
_0729_,121.84
clknet_4_5_0_clk,121.4
_0316_,120.56
clknet_4_2_0_clk,117.34
net11,116.38
_0596_,116.14
_0408_,114.1
net10,113.66
_0379_,113.45
_0959_,113.28
_0586_,113.24
_0590_,113.07
clknet_4_9_0_clk,112.58
_0968_,112.5
clknet_4_15_0_clk,112.16
_0591_,111.84
clknet_4_4_0_clk,111.38
_0579_,110.86
_0442_,110.84
clknet_4_8_0_clk,110.64
_0309_,109.44
_0687_,108.86
_0969_,108.68
clknet_4_13_0_clk,108.3
_0647_,108.2
_0794_,107.58
_0750_,107.16
_0871_,105.22
_0975_,104.3
_0297_,104.26
clknet_4_12_0_clk,104.22
_0315_,104.06
clknet_4_3_0_clk,102.98
_0422_,102
_0474_,100.7
_0454_,99.16
_0573_,98.94
_0740_,98.695
_0271_,98.34
_0501_,98.3
_0603_,98.14
_0294_,97.605
_0777_,96.38
_0459_,96.2
_0964_,95.56
_0763_,94.18
imem_inst.pc\[0\],94.055
clknet_4_0_0_clk,93.38
_0798_,93.36
